date,nav,source
2022-09-16,9.97,nmb_monthly
2022-10-17,9.99,nmb_monthly
2022-11-16,10.02,nmb_monthly
2022-12-15,10.04,nmb_monthly
2023-01-14,10.33,nmb_monthly
2023-02-12,10.34,nmb_monthly
2023-03-14,10.18,nmb_monthly
2023-04-13,10.20,nmb_monthly
2023-05-14,10.02,nmb_monthly
2023-06-15,10.92,nmb_monthly
2023-07-16,11.26,nmb_monthly
2023-08-17,11.05,nmb_monthly
2023-09-17,10.82,nmb_monthly
2023-10-17,10.37,nmb_monthly
2023-11-16,10.27,nmb_monthly
2023-12-16,10.98,nmb_monthly
2024-01-14,11.49,nmb_monthly
2024-02-12,11.27,nmb_monthly
2024-03-13,11.45,nmb_monthly
2024-04-12,11.15,nmb_monthly
2024-05-13,11.11,nmb_monthly
2024-06-14,11.62,nmb_monthly
2024-07-15,12.22,nmb_monthly
2024-08-16,15.19,nmb_monthly
2024-09-16,13.51,nmb_monthly
2024-10-16,13.21,nmb_monthly
2024-11-15,13.12,nmb_monthly
2024-12-15,12.49,nmb_monthly
2025-01-13,12.18,nmb_monthly
2025-02-12,12.42,nmb_monthly
2025-03-13,12.64,nmb_monthly
2025-04-13,12.27,nmb_monthly
2025-05-14,12.24,nmb_monthly
2025-06-14,12.38,nmb_monthly
2025-07-16,13.37,nmb_monthly
2025-08-16,13.28,nmb_monthly
2025-09-16,11.47,nmb_monthly
2025-10-17,10.81,nmb_monthly
2025-11-16,11.01,nmb_monthly
2025-12-15,11.33,nmb_monthly
2026-01-14,11.63,nmb_monthly
2026-02-12,11.63,nmb_monthly
