symbol,security_id,source
C30MF,9191,nepse_security_master_snapshot
CMF2,2862,nepse_security_master_snapshot
GBIMESY2,9269,nepse_security_master_snapshot
GIBF1,8106,nepse_security_master_snapshot
GSY,9248,nepse_security_master_snapshot
H8020,9221,nepse_security_master_snapshot
HLICF,9290,nepse_security_master_snapshot
KDBY,8074,nepse_security_master_snapshot
KEF,2933,nepse_security_master_snapshot
KSY,9241,nepse_security_master_snapshot
LUK,2902,nepse_security_master_snapshot
LVF2,9198,nepse_security_master_snapshot
MBLEF,9257,nepse_security_master_snapshot
MMF1,8023,nepse_security_master_snapshot
MNMF1,9245,nepse_security_master_snapshot
NBF2,2835,nepse_security_master_snapshot
NBF3,8024,nepse_security_master_snapshot
NIBLGF,9138,nepse_security_master_snapshot
NIBLSTF,9244,nepse_security_master_snapshot
NIBSF2,4949,nepse_security_master_snapshot
NICBF,2863,nepse_security_master_snapshot
NICFC,8073,nepse_security_master_snapshot
NICGF2,9236,nepse_security_master_snapshot
NICSF,4967,nepse_security_master_snapshot
NMB50,2867,nepse_security_master_snapshot
NMBHF2,9254,nepse_security_master_snapshot
NSIF2,8125,nepse_security_master_snapshot
PRSF,9174,nepse_security_master_snapshot
PSF,4947,nepse_security_master_snapshot
RBBF40,9302,nepse_security_master_snapshot
RMF1,4968,nepse_security_master_snapshot
RMF2,9178,nepse_security_master_snapshot
RSY,9259,nepse_security_master_snapshot
SAGF,9139,nepse_security_master_snapshot
SBCF,2937,nepse_security_master_snapshot
SEF,2770,nepse_security_master_snapshot
SFEF,9154,nepse_security_master_snapshot
SFMF,2877,nepse_security_master_snapshot
SIGS2,2859,nepse_security_master_snapshot
SIGS3,9182,nepse_security_master_snapshot
SLCF,2923,nepse_security_master_snapshot
